QUESTION,PATHS,OUTPUT-FUNCTION
Give me the historical price data for Bitcoin cryptocurrency from yahoo finance,"/crypto/price/historical
","obb.crypto.price.historical(symbol='BTC-USD', start_date='2024-01-01', end_date='2024-12-31', provider='yfinance')"
Give me the historical price data for Ethereum cryptocurrency from fmp,"/crypto/price/historical
","obb.crypto.price.historical(symbol='ETH-USD', start_date='2024-01-01', end_date='2024-12-31', provider='fmp')"
Give me the minute level price data for Bitcoin from January 2024 to April 2024,"/crypto/price/historical
","obb.crypto.price.historical(symbol='BTC-USD', interval=""1m"",  start_date='2024-01-01', end_date='2024-04-31', provider='yfinance')"
Give me the quarter level price data for Solana from 2021 till now,"/crypto/price/historical
","obb.crypto.price.historical(symbol='SOL-USD', interval=""1Q"",  start_date='2021-01-01', end_date='2024-04-31', provider='yfinance')"
I want the data hourly price data for Solana for the current year from polygon,"/crypto/price/historical
","obb.crypto.price.historical(symbol='SOL-USD', interval=""1h"",  start_date='2024-01-01', end_date='2024-12-31', provider='polygon')"
I want the daily price data for Ethereum and Bitcoin for the current year from tiingo provider and POLONIEX exchange,"/crypto/price/historical
","obb.crypto.price.historical(symbol='ETHUSD,BTCUSD', interval=""1d"",  start_date='2024-01-01', end_date='2024-12-31', provider='tiingo',exchanges=['POLONIEX'])"
"I want the dataframe for the daily price data Ethereum, Solana, Bitcoin from yahoo finance","/crypto/price/historical
","obb.crypto.price.historical(symbol='ETHUSD,BTCUSD,SOLUSD', interval=""1d"",  start_date='2024-01-01', end_date='2024-12-31', provider='yfinance').to_dataframe()"
I want the minute level data for Ethereum from yahoo finance in dictionary format,"/crypto/price/historical
","obb.crypto.price.historical(symbol='ETHUSD', interval=""1m"",  start_date='2024-01-01', end_date='2024-12-31', provider='yfinance').to_dict()"
I want the minute level data in 2023 for Solana from fmp in numpy array,"/crypto/price/historical
","obb.crypto.price.historical(symbol='SOLUSD', interval=""1m"",  start_date='2023-01-01', end_date='2023-12-31', provider='fmp').to_numpy()"
I want the cryptocurrency pair for Bitcoin,"/crypto/search
","obb.crypto.search(query='BTCUSD',provider='fmp')"
"I want the dataframe for the minute level price data Ethereum, Solana, Bitcoin from yahoo finance","/crypto/price/historical
","obb.crypto.price.historical(symbol=['ETHUSD,BTCUSD,SOLUSD'], interval=""1m"",  start_date='2024-01-01', end_date='2024-12-31', provider='yfinance').to_dataframe()"
Give me the currency historical price data for Euro in terms of USD for the year 2023,/currency/price/historical,"obb.currency.price.historical(symbol='EURUSD', start_date='2023-01-01',end_date='2023-12-31',provider='yfinance')"
Give me the currency historical price data for Japanese yen in terms of USD for the current year from polygon at 15 minute interval,/currency/price/historical,"obb.currency.price.historical(symbol='JPYUSD', start_date='2024-01-01',end_date='2024-12-31',provider='polygon',interval='15m')"
Search for 'EURUSD' currency pair using 'intrinio' as provider.,"/currency/search","obb.currency.search(provider='intrinio')"
Search for actively traded currency pairs on the queried date using 'polygon' as provider.,"/currency/search","obb.currency.search(provider='polygon', date=2024-01-02, active=True)
"
Search for terms  using 'polygon' as provider.,"/currency/search","obb.currency.search(provider='polygon', search='Euro zone')
"
Search for 'EURUSD' currency pair using 'intrinio' as provider.,"/currency/search","obb.currency.search(provider='intrinio', symbol=EURUSD)"
"Get exchange rates from USD and XAU to EUR, JPY, and GBP using 'fmp' as provider.",/currency/snapshots,"obb.currency.snapshots(provider='fmp', base='USD,XAU', counter_currencies='EUR,JPY,GBP', quote_type='indirect')"
Get the options  chain end-of-day-data for 2024-04-16 for Apple Company from intrino provider,"/derivatives/options/chains","obb.derivatives.options.chains(symbol='AAPL', date=2024-04-16, provider='intrinio')
"
Get the options chain for GOOGL for the year 2024,"/derivatives/options/chains","obb.derivatives.options.chains(symbol='GOOGL',provider='intrino')"
Get the bullish sentiment with trade type sweep option chains data for AAPL for the year 2022,/derivatives/options/unusual,"obb.derivatives.options.unusual(symbol='AAPL', provider='intrinio',start_date='2022-01-01',end_date='2022-12-31',trade_type='sweep',sentiment='bullish')"
Get the bearish sentiment with trade type large foption chains realtime data for MSFT for the current year ,/derivatives/options/unusual,"obb.derivatives.options.unusual(symbol='AAPL', provider='intrinio',start_date='2024-01-01',end_date='2024-12-31',trade_type='large',sentiment='bearish',source='realtime')"
I want historical future prices for ES and NQ for expiration in 2025,/derivatives/futures/historical,"obb.derivatives.futures.historical(symbol='ES,NQ', provider='yfinance', expiration='2025-12')
"
I want historical future 30 minutes level prices for ES and NQ ,/derivatives/futures/historical,"obb.derivatives.futures.historical(symbol='ES', provider='yfinance', interval='30m')
"
I want the current futures term structure for NG for 14 April 2024 ,/derivatives/futures/curve,"obb.derivatives.futures.curve(symbol='NG', provider='yfinance', date='2024-04-14')"
Give me the forecasted nominal gdp data for bulgaria,"/economy/gdp/forecast","obb.economy.gdp.forecast(period='annual', type='nominal', provider='oecd',country='bulgaria')
"
Give me the forecasted real quarterly gdp data for Israel,"/economy/gdp/forecast","obb.economy.gdp.forecast(period='quarter', type='real', provider='oecd',country='Israel')"
Give me the nominal GDP data for India capped to USD,/economy/gdp/nominal,"obb.economy.gdp.nominal(units='usd_cap', provider='oecd',country='india')"
Give me the nominal GDP data for Estonia in units of USD,/economy/gdp/nominal,"obb.economy.gdp.nominal(units='usd', provider='oecd',country='estonia')"
Give me the real GDP data for Belgiumyear over year for the year 2023,/economy/gdp/real,"obb.economy.gdp.real(provider='oecd',country='belgium',units='yoy',start_date='2023-01-01',end_date='2023-12-31')"
I want the economy calendar for the year 2023 from fmp provider,/economy/calendar,"obb.economy.calendar(provider='fmp', start_date='2023-01-01', end_date='2023-12-31')"
"I want to get the consumer price index or CPI for japan, chine and turkey","/economy/cpi","obb.economy.cpi(country='japan,china,turkey', provider='fred')"
I want the CPI of United states and United kingdom compared to the previous year,"/economy/cpi","obb.economy.cpi(country='united_states,united_kingdom', units='growth_previous', provider='fred')"
I want the quarterly CPI of US for the year 2023,"/economy/cpi","obb.economy.cpi(country='united_states', provider='fred',frequency='quarter',start_date='2023-01-01',end_date='2023-12-31')
"
I want to get the growth in CPI for Japan,"/economy/cpi","obb.economy.cpi(country='japan,united_kingdom', units='growth_same', provider='fred')
"
I want the market risk premium by country,/economy/risk_premium,obb.economy.risk_premium(provider='fmp')
I want to get the FRED series or economic releases,/economy/fred_search,obb.economy.fred_search(provider='fred')
I want the FRED series data for the symbol NFCI and STLFSI4,/economy/fred_series,"obb.economy.fred_series(symbol='NFCI', provider='fred')
"
