QUESTION,TIME,ANSWER,LLM_ANSWER,COMPLETION_TOKENS,PROMPT_TOKENS,TOTAL_TOKENS
Give me the historical price data for Bitcoin cryptocurrency from yahoo finance,2.0314414501190186,obb_crypto_price_historical,obb_currency_price_historical,92,1438,1530
Give me the historical price data for Ethereum cryptocurrency from fmp,1.6598870754241943,obb_crypto_price_historical,obb_currency_price_historical,96,1438,1534
Give me the minute level price data for Bitcoin from January 2024 to April 2024,0,obb_crypto_price_historical,,0,0,0
Give me the quarter level price data for Solana from 2021 till now,3.1803483963012695,obb_crypto_price_historical,obb_equity_price_performance,168,1779,1947
I want the data hourly price data for Solana for the current year from polygon,2.3449440002441406,obb_crypto_price_historical,obb_currency_price_historical,74,1380,1454
I want the daily price data for Ethereum and Bitcoin for the current year from tiingo provider and POLONIEX exchange,0,obb_crypto_price_historical,,0,0,0
"I want the dataframe for the daily price data Ethereum, Solana, Bitcoin from yahoo finance",2.9057137966156006,obb_crypto_price_historical,obb_equity_price_quote,162,2103,2265
I want the minute level data for Ethereum from yahoo finance in dictionary format,0.019013166427612305,obb_crypto_price_historical,obb_equity_price_quote,90,2148,2238
I want the minute level data in 2023 for Solana from fmp in numpy array,0,obb_crypto_price_historical,,0,0,0
I want the cryptocurrency pair for Bitcoin,0.672675609588623,obb_crypto_search,obb_crypto_search,42,1224,1266
"I want the dataframe for the minute level price data Ethereum, Solana, Bitcoin from yahoo finance",2.6453700065612793,obb_crypto_price_historical,obb_equity_price_quote,123,2106,2229
Give me the currency historical price data for Euro in terms of USD for the year 2023,1.8456318378448486,obb_currency_price_historical,obb_economy_money_measures_federal,66,1192,1258
Give me the currency historical price data for Japanese yen in terms of USD for the current year from polygon at 15 minute interval,3.291303873062134,obb_currency_price_historical,obb_equity_price_quote,120,1851,1971
Search for 'EURUSD' currency pair using 'intrinio' as provider.,3.0387063026428223,obb_currency_search,,144,1209,1353
Search for actively traded currency pairs on the queried date using 'polygon' as provider.,3.134429693222046,obb_currency_search,,120,1818,1938
Search for terms  using 'polygon' as provider.,2.7931129932403564,obb_currency_search,obb_equity_ownership_institutional,114,1191,1305
Search for 'EURUSD' currency pair using 'intrinio' as provider.,0.017771005630493164,obb_currency_search,,144,1209,1353
"Get exchange rates from USD and XAU to EUR, JPY, and GBP using 'fmp' as provider.",1.0935273170471191,obb_currency_snapshots,obb_currency_snapshots,96,1236,1332
Get the options  chain end-of-day-data for 2024-04-16 for Apple Company from intrino provider,4.887648582458496,obb_derivatives_options_chains,obb_equity_price_quote,243,1803,2046
Get the options chain for GOOGL for the year 2024,2.004687547683716,obb_derivatives_options_chains,obb_equity_search,84,1182,1266
Get the bullish sentiment with trade type sweep option chains data for AAPL for the year 2022,0,obb_derivatives_options_unusual,,0,0,0
Get the bearish sentiment with trade type large foption chains realtime data for MSFT for the current year ,0,obb_derivatives_options_unusual,,0,0,0
I want historical future prices for ES and NQ for expiration in 2025,2.647223711013794,obb_derivatives_futures_historical,obb_equity_price_performance,132,2049,2181
I want historical future 30 minutes level prices for ES and NQ ,3.0813424587249756,obb_derivatives_futures_historical,obb_equity_price_quote,141,1692,1833
I want the current futures term structure for NG for 14 April 2024 ,3.9869940280914307,obb_derivatives_futures_curve,,96,1779,1875
Give me the forecasted nominal gdp data for bulgaria,3.2664217948913574,obb_economy_gdp_forecast,obb_economy_gdp_forecast,147,2160,2307
Give me the forecasted real quarterly gdp data for Israel,3.4780077934265137,obb_economy_gdp_forecast,obb_economy_gdp_forecast,111,1644,1755
Give me the nominal GDP data for India capped to USD,3.8474645614624023,obb_economy_gdp_nominal,obb_economy_gdp_nominal,153,1839,1992
Give me the nominal GDP data for Estonia in units of USD,2.7040982246398926,obb_economy_gdp_nominal,obb_economy_gdp_nominal,150,2022,2172
Give me the real GDP data for Belgiumyear over year for the year 2023,4.284944295883179,obb_economy_gdp_real,obb_economy_gdp_real,126,1782,1908
I want the economy calendar for the year 2023 from fmp provider,3.276353359222412,obb_economy_calendar,obb_economy_gdp_forecast,168,1776,1944
"I want to get the consumer price index or CPI for japan, chine and turkey",1.736358880996704,obb_economy_cpi,obb_economy_cpi,78,990,1068
I want the CPI of United states and United kingdom compared to the previous year,3.4706404209136963,obb_economy_cpi,obb_economy_gdp_real,168,2166,2334
I want the quarterly CPI of US for the year 2023,2.3998961448669434,obb_economy_cpi,obb_economy_fred_series,110,1180,1290
I want to get the growth in CPI for Japan,0,obb_economy_cpi,,0,0,0
I want the market risk premium by country,3.586320400238037,obb_economy_risk_premium,obb_economy_risk_premium,130,1392,1522
I want to get the FRED series or economic releases,2.9625132083892822,obb_economy_fred_search,obb_economy_fred_series,78,1428,1506
I want the FRED series data for the symbol NFCI and STLFSI4,1.7332777976989746,obb_economy_fred_series,obb_equity_search,82,1422,1504
I want the FRED series data for CBBTCUSD with average aggregation with percentage change from year ago ,2.1467063426971436,obb_economy_fred_series,obb_economy_fred_series,102,1428,1530
I want the money measures (M1/M2 components) without adjustment,2.437499761581421,obb_economy_money_measures,obb_economy_money_measures_federal,78,1078,1156
I want the monthly unemployment data for Male in Colombia ,2.0492992401123047,obb_economy_unemployment,obb_economy_unemployment,96,1458,1554
I want the quarterly unemployment data for female who are between 15-24 of age in Australia with seasonal adjustment,0,obb_economy_unemployment,,0,0,0
I want the composite leading indicator (CLI) from oecd,0,obb_economy_composite_leading_indicator,,0,0,0
I want the composite leading indicator (CLI) for US,1.9737696647644043,obb_economy_composite_leading_indicator,obb_economy_cpi,110,862,972
I want the short term interest rates from January to April 2024,3.569524049758911,obb_economy_short_term_interest_rate,obb_fixedincome_rate_estr,117,1773,1890
I want the monthly short term interest rates for New Zealand,2.8479578495025635,obb_economy_short_term_interest_rate,obb_fixedincome_government_us_yield_curve,99,1494,1593
I want the long term interest rates from January to April 2024 for all countries,3.195584774017334,obb_economy_long_term_interest_rate,"obb_fixedincome_government_treasury_rates_federal, obb_fixedincome_government_treasury_rates",144,1782,1926
