QUESTION,TIME,ANSWER,LLM_ANSWER,COMPLETION_TOKENS,PROMPT_TOKENS,TOTAL_TOKENS
Give me the historical price data for Bitcoin cryptocurrency from yahoo finance,3.6498212814331055,obb_crypto_price_historical,obb_crypto_price_historical,98,716,814
Give me the historical price data for Ethereum cryptocurrency from fmp,3.456233501434326,obb_crypto_price_historical,obb_crypto_price_historical,68,722,790
Give me the minute level price data for Bitcoin from January 2024 to April 2024,4.341193437576294,obb_crypto_price_historical,obb_crypto_price_historical,58,734,792
Give me the quarter level price data for Solana from 2021 till now,2.958343744277954,obb_crypto_price_historical,obb_crypto_price_historical,82,682,764
I want the data hourly price data for Solana for the current year from polygon,2.5760865211486816,obb_crypto_price_historical,obb_crypto_price_historical,80,690,770
I want the daily price data for Ethereum and Bitcoin for the current year from tiingo provider and POLONIEX exchange,3.980757713317871,obb_crypto_price_historical,obb_crypto_price_historical,130,758,888
"I want the dataframe for the daily price data Ethereum, Solana, Bitcoin from yahoo finance",2.4899091720581055,obb_crypto_price_historical,obb_crypto_price_historical,82,598,680
I want the minute level data for Ethereum from yahoo finance in dictionary format,3.4970240592956543,obb_crypto_price_historical,obb_crypto_price_historical,62,584,646
I want the minute level data in 2023 for Solana from fmp in numpy array,4.366214275360107,obb_crypto_price_historical,obb_equity_price_performance,96,1158,1254
I want the cryptocurrency pair for Bitcoin,2.481438636779785,obb_crypto_search,obb_crypto_search,54,748,802
"I want the dataframe for the minute level price data Ethereum, Solana, Bitcoin from yahoo finance",2.7173917293548584,obb_crypto_price_historical,obb_crypto_price_historical,94,598,692
Give me the currency historical price data for Euro in terms of USD for the year 2023,1.8378467559814453,obb_currency_price_historical,obb_currency_snapshots,31,432,463
Give me the currency historical price data for Japanese yen in terms of USD for the current year from polygon at 15 minute interval,2.0332138538360596,obb_currency_price_historical,obb_currency_snapshots,64,379,443
Search for 'EURUSD' currency pair using 'intrinio' as provider.,1.5038361549377441,obb_currency_search,obb_currency_snapshots,41,464,505
Search for actively traded currency pairs on the queried date using 'polygon' as provider.,1.7731897830963135,obb_currency_search,obb_currency_snapshots,54,436,490
Search for terms  using 'polygon' as provider.,2.1464955806732178,obb_currency_search,obb_equity_search,110,604,714
Search for 'EURUSD' currency pair using 'intrinio' as provider.,0.1611621379852295,obb_currency_search,obb_currency_snapshots,41,464,505
"Get exchange rates from USD and XAU to EUR, JPY, and GBP using 'fmp' as provider.",1.6600446701049805,obb_currency_snapshots,obb_currency_snapshots,52,422,474
Get the options  chain end-of-day-data for 2024-04-16 for Apple Company from intrino provider,4.617900371551514,obb_derivatives_options_chains,obb_derivatives_options_chains,120,963,1083
Get the options chain for GOOGL for the year 2024,2.7639517784118652,obb_derivatives_options_chains,obb_derivatives_options_chains,84,855,939
Get the bullish sentiment with trade type sweep option chains data for AAPL for the year 2022,4.427792310714722,obb_derivatives_options_unusual,obb_derivatives_options_chains,153,882,1035
Get the bearish sentiment with trade type large foption chains realtime data for MSFT for the current year ,4.378950595855713,obb_derivatives_options_unusual,obb_derivatives_options_chains,162,939,1101
I want historical future prices for ES and NQ for expiration in 2025,4.719891309738159,obb_derivatives_futures_historical,obb_derivatives_futures_historical,150,1086,1236
I want historical future 30 minutes level prices for ES and NQ ,3.232321262359619,obb_derivatives_futures_historical,obb_derivatives_futures_historical,90,1068,1158
I want the current futures term structure for NG for 14 April 2024 ,4.005055665969849,obb_derivatives_futures_curve,obb_derivatives_futures_curve,84,1059,1143
Give me the forecasted nominal gdp data for bulgaria,0.16459417343139648,obb_economy_gdp_forecast,obb_economy_gdp_forecast,120,966,1086
Give me the forecasted real quarterly gdp data for Israel,3.7647557258605957,obb_economy_gdp_forecast,obb_economy_gdp_forecast,90,1014,1104
Give me the nominal GDP data for India capped to USD,3.6437928676605225,obb_economy_gdp_nominal,obb_economy_gdp_nominal,99,1089,1188
Give me the nominal GDP data for Estonia in units of USD,3.068351984024048,obb_economy_gdp_nominal,obb_economy_gdp_nominal,90,1092,1182
Give me the real GDP data for Belgiumyear over year for the year 2023,3.8828601837158203,obb_economy_gdp_real,obb_economy_gdp_real,105,1053,1158
I want the economy calendar for the year 2023 from fmp provider,2.7457351684570312,obb_economy_calendar,obb_economy_calendar,68,784,852
"I want to get the consumer price index or CPI for japan, chine and turkey",2.334897518157959,obb_economy_cpi,obb_economy_cpi,72,680,752
I want the CPI of United states and United kingdom compared to the previous year,2.698972463607788,obb_economy_cpi,obb_economy_cpi,100,736,836
I want the quarterly CPI of US for the year 2023,2.6353251934051514,obb_economy_cpi,obb_economy_cpi,96,910,1006
I want to get the growth in CPI for Japan,2.7284915447235107,obb_economy_cpi,obb_economy_cpi,72,654,726
I want the market risk premium by country,2.6178019046783447,obb_economy_risk_premium,obb_economy_risk_premium,58,584,642
I want to get the FRED series or economic releases,2.3462860584259033,obb_economy_fred_search,obb_economy_fred_series,74,780,854
I want the FRED series data for the symbol NFCI and STLFSI4,3.375110149383545,obb_economy_fred_series,obb_economy_fred_series,102,696,798
I want the FRED series data for CBBTCUSD with average aggregation with percentage change from year ago ,4.710228443145752,obb_economy_fred_series,obb_equity_price_performance,192,1218,1410
I want the money measures (M1/M2 components) without adjustment,2.699414014816284,obb_economy_money_measures,obb_economy_money_measures_federal,140,1166,1306
I want the monthly unemployment data for Male in Colombia ,3.4436590671539307,obb_economy_unemployment,obb_economy_unemployment,82,606,688
I want the quarterly unemployment data for female who are between 15-24 of age in Australia with seasonal adjustment,2.8523318767547607,obb_economy_unemployment,obb_economy_unemployment,76,620,696
I want the composite leading indicator (CLI) from oecd,0,obb_economy_composite_leading_indicator,,0,0,0
I want the composite leading indicator (CLI) for US,3.6854076385498047,obb_economy_composite_leading_indicator,obb_economy_calendar,112,846,958
I want the short term interest rates from January to April 2024,2.9669501781463623,obb_economy_short_term_interest_rate,obb_economy_money_measures_federal,78,1230,1308
I want the monthly short term interest rates for New Zealand,4.30036735534668,obb_economy_short_term_interest_rate,obb_economy_money_measures_federal,74,1224,1298
I want the long term interest rates from January to April 2024 for all countries,0,obb_economy_long_term_interest_rate,,0,0,0
I want the quarterly long term interest rates for Mexico,2.5616366863250732,obb_economy_long_term_interest_rate,obb_economy_money_measures_federal,78,1134,1212
I want the FRED regional data for NYICLAIMS for the year 2021 and limit the results to 10 ,3.578627109527588,obb_economy_fred_regional,obb_economy_fred_series,136,700,836
I want to find the upcoming IPOs with minimum value of 1000000.,4.300699949264526,obb_equity_calendar_ipo,obb_equity_calendar_ipo,141,927,1068
I want to find the upcoming dividend payments,3.2736852169036865,obb_equity_calendar_dividend,obb_equity_calendar_dividend,90,945,1035
I want to find all the stock splits for the year 2023,5.422882318496704,obb_equity_calendar_splits,obb_equity_fundamental_historical_splits,114,912,1026
I want the closest peer for Microsoft,5.317337274551392,obb_equity_compare_peers,obb_equity_fundamental_search_attributes,96,849,945
I want the estimates of the target price for the current year,3.4769792556762695,obb_equity_estimates_price_target,obb_equity_estimates_price_target,120,960,1080
I want the estimates of the target price for the current year with grade,3.3002405166625977,obb_equity_estimates_price_target,obb_equity_estimates_price_target,114,966,1080
I want historical equity estimates of Apple and Google,4.5853681564331055,obb_equity_estimates_historical,obb_equity_estimates_historical,108,879,987
I want historical quarterly equity estimates of Amazon ,3.6729092597961426,obb_equity_estimates_historical,obb_equity_estimates_historical,105,903,1008
I want the consensus price target and recommendation for Nvidia,3.5882065296173096,obb_equity_estimates_consensus,obb_equity_estimates_consensus,123,876,999
I want the consensus price target and recommendation for Apple and Microsoft,6.209424734115601,obb_equity_estimates_consensus,obb_equity_estimates_consensus,153,882,1035
I want the equity estimates from Wedbsh firm,3.613274574279785,obb_equity_estimates_analyst_search,obb_equity_estimates_price_target,141,834,975
I want the forward sales estimates for Apple for the fiscal period q1,4.502418756484985,obb_equity_estimates_forward_sales,obb_equity_estimates_forward_sales,120,945,1065
I want the forward earnings per share (EPS) of Apple for the fiscal period q2,4.2682719230651855,obb_equity_estimates_forward_eps,obb_equity_fundamental_historical_eps,129,894,1023
I want the top price gainers sorted by descending order,5.665845155715942,obb_equity_discovery_gainers,obb_equity_discovery_gainers,111,918,1029
I want the top price loser sorted by ascending order,3.854051351547241,obb_equity_discovery_losers,obb_equity_discovery_losers,138,861,999
I want undervalued large cap stocks,3.303845167160034,obb_equity_discovery_undervalued_large_caps,obb_equity_discovery_undervalued_large_caps,105,891,996
I want undervalued growth stocks from yahoo finance sorted by ascending order,3.376633644104004,obb_equity_discovery_undervalued_growth,obb_equity_discovery_undervalued_growth,126,942,1068
I want top small cap stocks based on earnings growth from yahoo finance sorted by ascending order,3.6751348972320557,obb_equity_discovery_aggressive_small_caps,obb_equity_discovery_aggressive_small_caps,156,936,1092
I want top tech stocks based on revenye and earnings growth sorted by descending order,4.601744174957275,obb_equity_discovery_growth_tech,obb_equity_discovery_growth_tech,159,924,1083
