QUESTION,TIME,ANSWER,LLM_ANSWER,COMPLETION_TOKENS,PROMPT_TOKENS,TOTAL_TOKENS
Give me the historical price data for Bitcoin cryptocurrency from yahoo finance,0.44049978256225586,obb_crypto_price_historical,obb_crypto_price_historical,98,716,814
Give me the historical price data for Ethereum cryptocurrency from fmp,0.15291547775268555,obb_crypto_price_historical,obb_crypto_price_historical,68,722,790
Give me the minute level price data for Bitcoin from January 2024 to April 2024,0.26300716400146484,obb_crypto_price_historical,obb_crypto_price_historical,58,734,792
Give me the quarter level price data for Solana from 2021 till now,1.7022221088409424,obb_crypto_price_historical,obb_crypto_price_historical,82,682,764
I want the data hourly price data for Solana for the current year from polygon,0.15314149856567383,obb_crypto_price_historical,obb_crypto_price_historical,80,690,770
I want the daily price data for Ethereum and Bitcoin for the current year from tiingo provider and POLONIEX exchange,0.1594071388244629,obb_crypto_price_historical,obb_crypto_price_historical,130,758,888
"I want the dataframe for the daily price data Ethereum, Solana, Bitcoin from yahoo finance",0.1548144817352295,obb_crypto_price_historical,obb_crypto_price_historical,82,598,680
I want the minute level data for Ethereum from yahoo finance in dictionary format,0.15128374099731445,obb_crypto_price_historical,obb_crypto_price_historical,62,584,646
I want the minute level data in 2023 for Solana from fmp in numpy array,0.22845673561096191,obb_crypto_price_historical,obb_equity_price_performance,96,1158,1254
I want the cryptocurrency pair for Bitcoin,0.15607094764709473,obb_crypto_search,obb_crypto_search,54,748,802
"I want the dataframe for the minute level price data Ethereum, Solana, Bitcoin from yahoo finance",0.16312813758850098,obb_crypto_price_historical,obb_crypto_price_historical,94,598,692
Give me the currency historical price data for Euro in terms of USD for the year 2023,1.4518156051635742,obb_currency_price_historical,obb_currency_price_historical,62,864,926
Give me the currency historical price data for Japanese yen in terms of USD for the current year from polygon at 15 minute interval,1.3229482173919678,obb_currency_price_historical,obb_currency_price_historical,128,758,886
Search for 'EURUSD' currency pair using 'intrinio' as provider.,1.0286517143249512,obb_currency_search,obb_currency_search,82,928,1010
Search for actively traded currency pairs on the queried date using 'polygon' as provider.,2.218029737472534,obb_currency_search,obb_currency_search,106,872,978
Search for terms  using 'polygon' as provider.,1.0584080219268799,obb_currency_search,obb_equity_search,110,604,714
Search for 'EURUSD' currency pair using 'intrinio' as provider.,0.17209911346435547,obb_currency_search,obb_currency_search,82,928,1010
"Get exchange rates from USD and XAU to EUR, JPY, and GBP using 'fmp' as provider.",2.0665440559387207,obb_currency_snapshots,obb_currency_snapshots,92,844,936
Get the options  chain end-of-day-data for 2024-04-16 for Apple Company from intrino provider,1.3909568786621094,obb_derivatives_options_chains,obb_derivatives_options_unusual,120,963,1083
Get the options chain for GOOGL for the year 2024,0.8472752571105957,obb_derivatives_options_chains,obb_derivatives_options_chains,84,855,939
Get the bullish sentiment with trade type sweep option chains data for AAPL for the year 2022,1.2267043590545654,obb_derivatives_options_unusual,obb_derivatives_options_unusual,153,882,1035
Get the bearish sentiment with trade type large foption chains realtime data for MSFT for the current year ,1.118987798690796,obb_derivatives_options_unusual,obb_derivatives_options_chains,162,939,1101
I want historical future prices for ES and NQ for expiration in 2025,0.5299468040466309,obb_derivatives_futures_historical,obb_derivatives_futures_historical,150,1086,1236
I want historical future 30 minutes level prices for ES and NQ ,0.15093588829040527,obb_derivatives_futures_historical,obb_derivatives_futures_historical,90,1068,1158
I want the current futures term structure for NG for 14 April 2024 ,0.1676037311553955,obb_derivatives_futures_curve,obb_derivatives_futures_curve,84,1059,1143
Give me the forecasted nominal gdp data for bulgaria,0.1803121566772461,obb_economy_gdp_forecast,obb_economy_gdp_forecast,120,966,1086
Give me the forecasted real quarterly gdp data for Israel,1.1227004528045654,obb_economy_gdp_forecast,obb_economy_gdp_forecast,90,1014,1104
Give me the nominal GDP data for India capped to USD,0.18981623649597168,obb_economy_gdp_nominal,obb_economy_gdp_nominal,99,1089,1188
Give me the nominal GDP data for Estonia in units of USD,1.0320067405700684,obb_economy_gdp_nominal,obb_economy_gdp_nominal,90,1092,1182
Give me the real GDP data for Belgiumyear over year for the year 2023,1.3302180767059326,obb_economy_gdp_real,obb_economy_gdp_real,105,1053,1158
I want the economy calendar for the year 2023 from fmp provider,1.121072769165039,obb_economy_calendar,obb_economy_calendar,68,784,852
"I want to get the consumer price index or CPI for japan, chine and turkey",1.111797571182251,obb_economy_cpi,obb_economy_cpi,72,680,752
I want the CPI of United states and United kingdom compared to the previous year,1.2189419269561768,obb_economy_cpi,obb_economy_cpi,100,736,836
I want the quarterly CPI of US for the year 2023,1.130507230758667,obb_economy_cpi,obb_economy_cpi,96,910,1006
I want to get the growth in CPI for Japan,0.9242606163024902,obb_economy_cpi,obb_economy_cpi,72,654,726
I want the market risk premium by country,2.436984062194824,obb_economy_risk_premium,obb_economy_risk_premium,58,584,642
I want to get the FRED series or economic releases,1.0211689472198486,obb_economy_fred_search,obb_economy_fred_search,74,780,854
I want the FRED series data for the symbol NFCI and STLFSI4,1.1052334308624268,obb_economy_fred_series,obb_economy_fred_series,102,696,798
I want the FRED series data for CBBTCUSD with average aggregation with percentage change from year ago ,0.15639305114746094,obb_economy_fred_series,obb_equity_price_performance,192,1218,1410
I want the money measures (M1/M2 components) without adjustment,1.29380202293396,obb_economy_money_measures,obb_economy_money_measures_federal,140,1166,1306
I want the monthly unemployment data for Male in Colombia ,0.18671321868896484,obb_economy_unemployment,obb_economy_unemployment,82,606,688
I want the quarterly unemployment data for female who are between 15-24 of age in Australia with seasonal adjustment,0.8152182102203369,obb_economy_unemployment,obb_economy_unemployment,76,620,696
I want the composite leading indicator (CLI) from oecd,0.1579744815826416,obb_economy_composite_leading_indicator,obb_economy_composite_leading_indicator,92,668,760
I want the composite leading indicator (CLI) for US,2.551043748855591,obb_economy_composite_leading_indicator,obb_economy_composite_leading_indicator,112,846,958
I want the short term interest rates from January to April 2024,0.9859881401062012,obb_economy_short_term_interest_rate,obb_economy_short_term_interest_rate,78,1230,1308
I want the monthly short term interest rates for New Zealand,1.6344542503356934,obb_economy_short_term_interest_rate,obb_economy_short_term_interest_rate,74,1224,1298
I want the long term interest rates from January to April 2024 for all countries,0.1588125228881836,obb_economy_long_term_interest_rate,obb_economy_long_term_interest_rate,112,1236,1348
I want the quarterly long term interest rates for Mexico,1.166001796722412,obb_economy_long_term_interest_rate,obb_economy_long_term_interest_rate,78,1134,1212
I want the FRED regional data for NYICLAIMS for the year 2021 and limit the results to 10 ,3.7883334159851074,obb_economy_fred_regional,obb_economy_fred_regional,88,678,766
I want to find the upcoming IPOs with minimum value of 1000000.,0.17409753799438477,obb_equity_calendar_ipo,obb_equity_calendar_ipo,141,927,1068
I want to find the upcoming dividend payments,0.16147232055664062,obb_equity_calendar_dividend,obb_equity_calendar_dividend,90,945,1035
I want to find all the stock splits for the year 2023,0.17274045944213867,obb_equity_calendar_splits,obb_equity_fundamental_historical_splits,114,912,1026
I want the closest peer for Microsoft,0.9074668884277344,obb_equity_compare_peers,obb_equity_compare_peers,64,566,630
I want the estimates of the target price for the current year,0.307814359664917,obb_equity_estimates_price_target,obb_equity_estimates_price_target,120,960,1080
I want the estimates of the target price for the current year with grade,0.16086959838867188,obb_equity_estimates_price_target,obb_equity_estimates_price_target,114,966,1080
I want historical equity estimates of Apple and Google,0.16423845291137695,obb_equity_estimates_historical,obb_equity_estimates_historical,108,879,987
I want historical quarterly equity estimates of Amazon ,0.20011544227600098,obb_equity_estimates_historical,obb_equity_estimates_historical,105,903,1008
I want the consensus price target and recommendation for Nvidia,0.3530552387237549,obb_equity_estimates_consensus,obb_equity_estimates_consensus,123,876,999
I want the consensus price target and recommendation for Apple and Microsoft,0.17790913581848145,obb_equity_estimates_consensus,obb_equity_estimates_consensus,153,882,1035
I want the equity estimates from Wedbsh firm,0.16611337661743164,obb_equity_estimates_analyst_search,obb_equity_estimates_price_target,141,834,975
I want the forward sales estimates for Apple for the fiscal period q1,0.16531705856323242,obb_equity_estimates_forward_sales,obb_equity_estimates_forward_sales,120,945,1065
I want the forward earnings per share (EPS) of Apple for the fiscal period q2,1.0451228618621826,obb_equity_estimates_forward_eps,obb_equity_fundamental_historical_eps,129,894,1023
I want the top price gainers sorted by descending order,0.21883845329284668,obb_equity_discovery_gainers,obb_equity_discovery_gainers,111,918,1029
I want the top price loser sorted by ascending order,0.15718960762023926,obb_equity_discovery_losers,obb_equity_discovery_losers,138,861,999
I want undervalued large cap stocks,0.1592698097229004,obb_equity_discovery_undervalued_large_caps,obb_equity_discovery_undervalued_large_caps,105,891,996
I want undervalued growth stocks from yahoo finance sorted by ascending order,0.2415475845336914,obb_equity_discovery_undervalued_growth,obb_equity_discovery_undervalued_growth,126,942,1068
I want top small cap stocks based on earnings growth from yahoo finance sorted by ascending order,0.15673255920410156,obb_equity_discovery_aggressive_small_caps,obb_equity_discovery_aggressive_small_caps,156,936,1092
I want top tech stocks based on revenye and earnings growth sorted by descending order,0.1662602424621582,obb_equity_discovery_growth_tech,obb_equity_discovery_growth_tech,159,924,1083
I want a 10-K report from fmp,0.1770610809326172,obb_equity_discovery_filings,obb_equity_fundamental_reported_financials,162,1398,1560
I want the equity valuation multiples for Apple (AAPL),0.15618062019348145,obb_equity_fundamental_multiples,obb_equity_fundamental_multiples,102,858,960
I want last 5 annual balance sheets of Microsoft (MSFT) with filing date less than equal to 2024 April,0.6880037784576416,obb_equity_fundamental_balance,obb_equity_fundamental_balance,156,1197,1353
