QUESTION,TIME,ANSWER,LLM_ANSWER
Give me the historical price data for Bitcoin cryptocurrency from yahoo finance,2.1128156185150146,obb_crypto_price_historical,obb_crypto_price_historical
Give me the historical price data for Ethereum cryptocurrency from fmp,2.165173292160034,obb_crypto_price_historical,obb_crypto_price_historical
Give me the minute level price data for Bitcoin from January 2024 to April 2024,2.5204107761383057,obb_crypto_price_historical,obb_crypto_price_historical
Give me the quarter level price data for Solana from 2021 till now,2.1541366577148438,obb_crypto_price_historical,obb_crypto_price_historical
I want the data hourly price data for Solana for the current year from polygon,2.3395586013793945,obb_crypto_price_historical,obb_crypto_price_historical
I want the daily price data for Ethereum and Bitcoin for the current year from tiingo provider and POLONIEX exchange,2.6506099700927734,obb_crypto_price_historical,obb_crypto_price_historical
"I want the dataframe for the daily price data Ethereum, Solana, Bitcoin from yahoo finance",2.2309799194335938,obb_crypto_price_historical,obb_crypto_price_historical
I want the minute level data for Ethereum from yahoo finance in dictionary format,2.0498194694519043,obb_crypto_price_historical,obb_crypto_price_historical
I want the minute level data in 2023 for Solana from fmp in numpy array,3.013889789581299,obb_crypto_price_historical,obb_crypto_price_historical
I want the cryptocurrency pair for Bitcoin,1.7641854286193848,obb_crypto_search,obb_crypto_search
"I want the dataframe for the minute level price data Ethereum, Solana, Bitcoin from yahoo finance",2.6437582969665527,obb_crypto_price_historical,obb_crypto_price_historical
Give me the currency historical price data for Euro in terms of USD for the year 2023,2.8063807487487793,obb_currency_price_historical,obb_currency_price_historical
Give me the currency historical price data for Japanese yen in terms of USD for the current year from polygon at 15 minute interval,2.3033952713012695,obb_currency_price_historical,obb_currency_price_historical
Search for 'EURUSD' currency pair using 'intrinio' as provider.,2.0666394233703613,obb_currency_search,obb_currency_search
Search for actively traded currency pairs on the queried date using 'polygon' as provider.,2.2129812240600586,obb_currency_search,obb_currency_search
Search for terms  using 'polygon' as provider.,2.576491594314575,obb_currency_search,obb_equity_search
Search for 'EURUSD' currency pair using 'intrinio' as provider.,0.3681626319885254,obb_currency_search,obb_currency_search
"Get exchange rates from USD and XAU to EUR, JPY, and GBP using 'fmp' as provider.",2.4837608337402344,obb_currency_snapshots,obb_currency_snapshots
Get the options  chain end-of-day-data for 2024-04-16 for Apple Company from intrino provider,2.567828416824341,obb_derivatives_options_chains,obb_equity_market_snapshots
Get the options chain for GOOGL for the year 2024,0,obb_derivatives_options_chains,
Get the bullish sentiment with trade type sweep option chains data for AAPL for the year 2022,0,obb_derivatives_options_unusual,
Get the bearish sentiment with trade type large foption chains realtime data for MSFT for the current year ,3.889004707336426,obb_derivatives_options_unusual,obb_derivatives_options_chains
I want historical future prices for ES and NQ for expiration in 2025,4.252729177474976,obb_derivatives_futures_historical,obb_derivatives_futures_historical
I want historical future 30 minutes level prices for ES and NQ ,3.2770578861236572,obb_derivatives_futures_historical,obb_equity_price_quote
I want the current futures term structure for NG for 14 April 2024 ,3.2591376304626465,obb_derivatives_futures_curve,obb_derivatives_futures_curve
Give me the forecasted nominal gdp data for bulgaria,2.726263999938965,obb_economy_gdp_forecast,obb_economy_gdp_forecast
Give me the forecasted real quarterly gdp data for Israel,3.298126220703125,obb_economy_gdp_forecast,obb_economy_gdp_real
Give me the nominal GDP data for India capped to USD,2.761263370513916,obb_economy_gdp_nominal,obb_economy_gdp_nominal
Give me the nominal GDP data for Estonia in units of USD,3.1013989448547363,obb_economy_gdp_nominal,obb_economy_gdp_nominal
Give me the real GDP data for Belgiumyear over year for the year 2023,3.8752758502960205,obb_economy_gdp_real,obb_economy_gdp_real
I want the economy calendar for the year 2023 from fmp provider,2.1031582355499268,obb_economy_calendar,obb_economy_calendar
"I want to get the consumer price index or CPI for japan, chine and turkey",2.329108953475952,obb_economy_cpi,obb_economy_cpi
I want the CPI of United states and United kingdom compared to the previous year,2.5328946113586426,obb_economy_cpi,obb_economy_cpi
I want the quarterly CPI of US for the year 2023,2.26192569732666,obb_economy_cpi,obb_economy_cpi
I want to get the growth in CPI for Japan,2.1493852138519287,obb_economy_cpi,obb_economy_cpi
I want the market risk premium by country,0,obb_economy_risk_premium,
I want to get the FRED series or economic releases,2.510833978652954,obb_economy_fred_search,obb_economy_fred_search
I want the FRED series data for the symbol NFCI and STLFSI4,2.1185128688812256,obb_economy_fred_series,obb_index_price_historical
I want the FRED series data for CBBTCUSD with average aggregation with percentage change from year ago ,2.960815906524658,obb_economy_fred_series,obb_crypto_price_historical
I want the money measures (M1/M2 components) without adjustment,2.3747966289520264,obb_economy_money_measures,obb_economy_money_measures_federal
I want the monthly unemployment data for Male in Colombia ,2.2177727222442627,obb_economy_unemployment,obb_economy_unemployment
I want the quarterly unemployment data for female who are between 15-24 of age in Australia with seasonal adjustment,2.0004656314849854,obb_economy_unemployment,obb_economy_unemployment
I want the composite leading indicator (CLI) from oecd,2.4542500972747803,obb_economy_composite_leading_indicator,obb_economy_composite_leading_indicator
I want the composite leading indicator (CLI) for US,2.359191656112671,obb_economy_composite_leading_indicator,obb_economy_composite_leading_indicator
I want the short term interest rates from January to April 2024,2.837681770324707,obb_economy_short_term_interest_rate,obb_fixedincome_sofr
I want the monthly short term interest rates for New Zealand,0,obb_economy_short_term_interest_rate,
I want the long term interest rates from January to April 2024 for all countries,0,obb_economy_long_term_interest_rate,
I want the quarterly long term interest rates for Mexico,0,obb_economy_long_term_interest_rate,
Get the options chain for GOOGL for the year 2024,0,obb_derivatives_options_chains,
Get the bullish sentiment with trade type sweep option chains data for AAPL for the year 2022,0,obb_derivatives_options_unusual,
I want the market risk premium by country,0,obb_economy_risk_premium,
I want the monthly short term interest rates for New Zealand,0,obb_economy_short_term_interest_rate,
I want the long term interest rates from January to April 2024 for all countries,0,obb_economy_long_term_interest_rate,
I want the quarterly long term interest rates for Mexico,0,obb_economy_long_term_interest_rate,
I want the FRED regional data for NYICLAIMS for the year 2021 and limit the results to 10 ,3.94781494140625,obb_economy_fred_regional,obb_economy_fred_regional
I want to find the upcoming IPOs with minimum value of 1000000.,4.067357301712036,obb_equity_calendar_ipo,obb_equity_calendar_ipo
I want to find the upcoming dividend payments,3.5423970222473145,obb_equity_calendar_dividend,obb_equity_calendar_dividend
I want to find all the stock splits for the year 2023,2.960341215133667,obb_equity_calendar_splits,obb_equity_fundamental_historical_splits
I want the closest peer for Microsoft,2.725825786590576,obb_equity_compare_peers,obb_equity_compare_peers
I want the estimates of the target price for the current year,3.380821704864502,obb_equity_estimates_price_target,obb_equity_estimates_price_target
I want the estimates of the target price for the current year with grade,3.553873300552368,obb_equity_estimates_price_target,obb_equity_estimates_price_target
I want historical equity estimates of Apple and Google,3.136993646621704,obb_equity_estimates_historical,obb_equity_estimates_historical
I want historical quarterly equity estimates of Amazon ,3.118825912475586,obb_equity_estimates_historical,obb_equity_estimates_historical
I want the consensus price target and recommendation for Nvidia,2.6141090393066406,obb_equity_estimates_consensus,obb_equity_estimates_consensus
I want the consensus price target and recommendation for Apple and Microsoft,3.375605583190918,obb_equity_estimates_consensus,obb_equity_estimates_consensus
I want the equity estimates from Wedbsh firm,6.467944622039795,obb_equity_estimates_analyst_search,obb_equity_estimates_historical
I want the forward sales estimates for Apple for the fiscal period q1,3.8886992931365967,obb_equity_estimates_forward_sales,obb_equity_estimates_historical
I want the forward earnings per share (EPS) of Apple for the fiscal period q2,3.9347846508026123,obb_equity_estimates_forward_eps,obb_equity_calendar_earnings
I want the top price gainers sorted by descending order,2.743196964263916,obb_equity_discovery_gainers,obb_equity_discovery_gainers
I want the top price loser sorted by ascending order,3.7070517539978027,obb_equity_discovery_losers,obb_equity_price_performance
I want undervalued large cap stocks,2.7950403690338135,obb_equity_discovery_undervalued_large_caps,obb_equity_discovery_undervalued_large_caps
I want undervalued growth stocks from yahoo finance sorted by ascending order,0,obb_equity_discovery_undervalued_growth,
I want top small cap stocks based on earnings growth from yahoo finance sorted by ascending order,0,obb_equity_discovery_aggressive_small_caps,
I want top tech stocks based on revenye and earnings growth sorted by descending order,3.0656957626342773,obb_equity_discovery_growth_tech,obb_equity_discovery_growth_tech
I want a 10-K report from fmp,4.3682756423950195,obb_equity_discovery_filings,obb_equity_discovery_filings
I want the equity valuation multiples for Apple (AAPL),2.3942835330963135,obb_equity_fundamental_multiples,obb_equity_fundamental_multiples
I want last 5 annual balance sheets of Microsoft (MSFT) with filing date less than equal to 2024 April,0,obb_equity_fundamental_balance,
I want the growth in the last 5 balance sheet of Google (GOOGL) ,3.0314061641693115,obb_equity_fundamental_balance_growth,obb_equity_fundamental_balance_growth
I want the last 10 annual cashflow statement for Apple for the fiscal year 2023 from fmp provider,0,obb_equity_fundamental_cash,
I want the last 3 annual cashflow statement for AAPL for the fiscal year 04/2023 to 04/2024 from polygon provider and include the source ,5.33250093460083,obb_equity_fundamental_cash,obb_equity_fundamental_cash
I want the last 5 annual cashflow statement for MSFT sorted by period_of_report_date in descending order,0,obb_equity_fundamental_cash,
I want the last annual cashflow statement for AAPL from intrino provider,3.849766254425049,obb_equity_fundamental_cash,obb_equity_fundamental_cash
I want the last 10 financial statements of statement_type balance for NVDA for the fiscal year 2024,6.008671283721924,obb_equity_fundamental_reported_financials,obb_equity_fundamental_reported_financials
I want the last 10 growth of NKE cash flow statement from fmp,0,obb_equity_fundamental_cash_growth,
I want the last 5 dividends by AMZN from 01/2024 to 04/2024,3.3479161262512207,obb_equity_fundamental_dividends,obb_equity_fundamental_dividends
I want the last 5 historical Earnings Per Share or EPS for DIS,3.4116885662078857,obb_equity_fundamental_historical_eps,obb_equity_fundamental_historical_eps
I want the employee count of GOOGL,3.4753308296203613,obb_equity_fundamental_employee_count,obb_equity_fundamental_employee_count
I want the last 3 EBITDA data from the provider intrino ,4.657659292221069,obb_equity_fundamental_search_attributes,obb_equity_fundamental_historical_attributes
I want the current CEO of Disney (DIS),0,obb_equity_fundamental_latest_attributes,
I want the daily historical EBITDA of AAPL from intrino provider from 01/2024 to 04/2024,0,obb_equity_fundamental_historical_attributes,
I want last 5 annual income statements of Microsoft (MSFT) with filing date less than equal to 2024 April and greater than January 2024 from polygon provider,4.075774908065796,obb_equity_fundamental_income,obb_equity_fundamental_income
I want the annual income statement of DIS for the fiscal year 2024 from intrino,0,obb_equity_fundamental_income,
I want the annual income statement of NVDA from yahoo finance,3.582106113433838,obb_equity_fundamental_income,obb_equity_fundamental_income
I want the last 5 annual income growth of DIS from fmp provider,0,obb_equity_fundamental_income_growth,
I want last 10 annual fundamental metrics of AAPL from intrino provider,3.6629042625427246,obb_equity_fundamental_metrics,obb_equity_fundamental_metrics
I want the executive management team data for GOOGL,2.65751314163208,obb_equity_fundamental_management,obb_equity_fundamental_management
I want the executive management team compensation for DIS and GOOGL,5.9923255443573,obb_equity_fundamental_management_compensation,obb_equity_fundamental_management_compensation
I want the executive management team compensation data for AMZN and MSFT,3.300110340118408,obb_equity_fundamental_management_compensation,obb_equity_fundamental_management_compensation
